text,label
love the durian shaved ice here. only few places in london to have durian desserts.,4
we were visiting chinatown from canada and this dessert shop .what a great find. the staff are amazing! the dessert are also amazing! staff made us feel so welcome each time we were there. an amazing atmosphere and we would highly recommend this establishment to everyone!,5
"lovely intimate little venue perfect for a date.we had some excellent fruit dessert,it was a life changing experience.highly recommend this place.",5
love the dessert! found this shop by accident but it surprised me! definitely will go back again next time. mango ice was great!,5
very good food and good communication with customers. recommended  10000% love it,5
"the best dessert  ive tried! great choice,interesting tastes.",5
very friendly and helpful staff looked after us.his recommendation were perfect and matched exactly what we expected.we had a comfortable and nice experience and would like to go back again.,5
"overpriced, inattentive service, cash only.there's much better places for shaved ice and tapioca desserts in london.",3
great food at reasonable prices. amazing atmosphere interior was beautiful.not accept  america express card.,5
"this is a wonderful place,full of the buzz of being in london .desserts were incredible,waiters were very attentive.",5
friendly service delicious dessert its okay to open a few more shop!,5
they charged service charge ??? without any service ?? ok,1
service is too bad. we try to enjoy the food but the attitude of the waitor is too annoying!!!,1
great dessert.seating section was great.amazing atmosphere.everything was well organised.,5
"no air condistion in hot weathertookaway a mango cake and when i back home, the cake looked like thiswhat a jokethe cake costs 7 pounds!",1
"very bad service. staff are talking loud when they making the food. and they even charge 12.5% of bill for service charge,where this confidence comes from?",1
"awful service, disappointing waitress who was not only disrespectful but filled with attitude. slow service. desserts came out completely different to what was advertised and was so bad that we had to walk out.",1
"not all drinks were cold as we expected. the flavours of the drinks, smoothies and ice cream were okay though.the whole place smelled like durian. eventually the smell become less strong till i don't notice it anymore.",3
diverse and extensive asian dessert menu - well worth a visit to sample.,4
great dessert service is very good,5
"had a horrible time here - do not order ""ginger milk"" as they literally just mix ginger and milk and serve it as a liquid.",1
"good desserts, drinks are ok but its but a tad pricey",4
bad quality food and bad service. very disappointed,1
"super cute caf and delicious desserts! a bit pricey tho, but the location is very cosy",4
amazing freshly fruit dessert.... the best hong kong style dessert in uk!!!,5
"the most amazing mango ice cream  in soho, london. share with a loved one!",5
"i came here for the durian desserts because i love durian!! we had the durian shaved ice one, and it was so good. i will definitely be coming back to try the other desserts!",5
great spot in china town for spicy sichuan food. waiter was excellent in offering recommendations. cash only.,4
"great authentic dishes, great presentation of food. the chilli beef and bamboo shoots and whole sea bass were great!",5
cool restaurant with excellent food at reasonable prices. not suitable for massive groups as you may find the seats uncomfortable. it's perfect for quick authentic chinese dinner. ,5
communist decor. good food. affordable too. what more could you want?,4
food is too expensive and service too bad. cash only!!!!!!!! no card!!!!!!,2
"this place used to be amazing. the new menu is poor, terrible in fact. seems like an attempt to sell tiny dishes at old prices but they've made them worse too. all the best dishes like fish fragrant aubergine, cumin lamb, green beans with mince pork and garlic and twice cooked szechuan pork are gone. please bring the old menu back!",2
place is very small but the food is good!,4
"small, busy and buzzing. small dishes, fresh flavours and beautiful presentation - wonderful! gets busy and there is a 12 per head minimum charge.",4
"once we he most amazing chinese in soho, now it's very poor. but still expensive.",1
"its small and cozy, with good staff and very tasty food. the twice cooked pork is superb. go here!",4
"this place had a changed menu and possibly change of management, and the quality of the food dropped - but its great again. very affordable, and genuine chinese cuisine. one of the best places in chinatown - highly recommended!",5
very authentic chinese~spicy food guaranteed,5
"very mediocre and overpriced food. rude, grumpy and dismissive service. ",1
a cosy and welcome stop during my wander around london.,4
"perfectly decent food, price a bit high for quality",3
would've been nice if they brought me my meal. would've been ok if they brought it after us telling them.,2
great authentic chinese food,5
authentic and tasty sichuan restaurant with fast and friendly service,5
"great szechuan dishes bursting with amazing tastes of china in a small restaurant that will make you feel as if your were transported to a rural town in china. service was also patient and friendly. prawn, chicken and pork dishes were great. lamb dish was less successful. they have great teas too!",4
"authentic sichuan cooking, fried fish in chilli oil and shredded tofu  was amazing!",5
good food at reasonable prices and large quantities. would come again.,4
authentic sichuan food at a very reasonable price. we were a group of 6 and had to wait 15 minutes to sit down but it was worth it. everything was delicious but the cauliflower stir fry and the fried pork belly were amazing!,5
"i love the traditional spicy dumplings in broth. they are ridiculously spicy and soooo tasty. no alcohol here and simple, no messing vibe.",5
the mao cai is mouth tingling excellent,5
delicious and authentic. the dishes definitely reminded me of home. the dishes were served quickly and the service was top notch. definitely recommend.,5
ok sichuan food. quick service but without a smile or warmth. and would not accept card payment for an 80 pound bill. had to walk down to the local atm to get cash to pay. my local kebab house and chinese takeaway even take card payments!!,2
"one of my favourite restaurants in london; serves authentic chinese food for a reasonable price. also serve super quickly so its very ideal for the ever hungry person!! every dish ive tried has been really good, highly recommend the .",5
my favourite place for chinese food in chinatown. it tastes amazing!,5
portions were way to smallwould not recommend for families,1
i ate  my first time there and i must say the food was  very tasty.  will definitely come back ,5
"always go here when im in london. great place , great food. good spicy food. authentic.",5
"server refused to take an order for another dish saying ""you can only order once"", and that stupid policy is not listed/specified anywhere. average food. don't waste your time or money here, as they don't value your money as paying customers.",1
overpriced!!!!! - tasty enough and quick but 12 quid for what seemed half a dish. get yourself to silk road in camberwell.,2
"worst customer service ever !!!! they don't realise we actually pay for the food and not the other way round. not sure who the hell runs this place ... i will never return nor recommend th place , in fact would talk about this to all my friends who visit china town!!",1
"some dishes (vegetables) were really good, most of the meats were just mediocre. come for the spicy food, but only if you're craving something spicy. wouldn't go out of my way to come back here.",3
excellent hotpot.,5
"one of the best gems in chinatown to eat. really daring and inspiring dishes on the menu and off the main, busy strip",5
nice place but they need to improve their service,2
"one of my favourite sichuan restaurant in china town, delicious. most important of all, it is value for money!",4
great little place with tasty dishes at reasonable prices.,4
best dim sum.,5
best restaurant in the world meneu verry good and fast team i like it verry much,5
not recommended. this place is trash. the waitress was rude and the food was dirty and worst taste. ,1
the service and the tastes of the foods became worse compare with last year when i visited. the sauce of the fish smells and tastes good but the fish was tasteless. i agree with the other reviews that the male waiter was rude to customer and he kept talking to another waitress which was quite annoying to us.,2
"really good szechuan food nice staff unusual for china town, good prices",5
taste bud overload. if youve never tried it go for it. but be prepared for an other world experience in dining.,4
highly recommendable place for chinese food. excellent dishes are served with a variety of szechuan flavours and spices. the service is also very good. try the homemade plum juice! it goes perfectly with spicy dishes. ,5
"this was my most frequent choice in china town. very affordable and very busy, so didn't expect too much of service, until today we encountered a very rude waiter, slim and middle aged man, i don't want to go back ever again. ",2
"great if you want szechuan style cooking, one of the best for it in london. decently priced and the service is what you expect in chinatown. can get crowded but i like the food a lot",5
"delicious! we ordered a bunch of dishes to share, and it was perfect. it was our first time trying all of the food we had. perfect amount of spice and flavor. ",5
"always been one of the better regional chinese restaurants in london although i note the dish size has shrunk while the prices have creeped up. pretty poor service, as per most chinatown restaurants, and cash only.",4
"i was there last saturday with some friends. we ordered 4 different dishes, and everything was delicious. the place is now starred on my google maps :)",5
 recommend to all if u are looking for traditional spicy food.  i really love this place. used to come for lunch all the time. thought i'd leave a nice msg since the staff were treating me well ,5
"i always love food there but they have change the menu and new business idea, in fact i did not enjoy that much like i used to, i guess is ok.",3
"did not feel very authentic. the waiter we had was fine, but the food wasn't great for the price.",2
"i heard good things about this place but wasn't very impressed. i got the mouthwatering chicken ( very very good!) smacked cucumber, which was bland, don't really have any dressing that you would expect and dan dan noodles which were overcooked and claggy.",3
expensive. cash only. service was not great. didn't get all of the dishes we ordered. food was good.,2
the buns and pastries are good but bubble  waffle is very average.,4
lovely bakery place. variety of buns and cakes for good price. recommend a visit ,5
a good variety of sweet and savoury bread and cakes.,4
"favourite bakery ever. so much choice. they sell bubble waffles, taiyaki and have a huge selection of buns and pastries. the only reason why it isn't 5*s is because the queueing system is never made clear and you have to figure it out for yourself",4
"finally found a place that sells red bean taiyaki in london, and they are just as good as japan - highly recommended! also love the ice cream in fish shaped cones.",5
good bread very soft.. even sometimes long q.. but it worth...,5
great ice cream. the waffle was not so fluffy though,4
"one of best chinese bakeries in whole uk imo. always fresh, eye-candy buns and good prices. also always great assortment and availability, which is rare for bakeries. a ""must go"" place",5
delicious little fish shaped breads with custard filling. highly recommended! the minis are best.,5
"the woman there gave me fake change, was very rude and the ice cream wasn't that good",1
"i got the two types of big taiyaki, red bean and nutella. the dough is different from what im used to (chewy cakey), more glutinous inside and crispy outside. youd have to pay more for nutella, so id say go for the red bean unless you hate it! a nice little treat!ps. bread in shop looks gooood",4
"bad customer service. what they call a ""large"" taiyaki is pretty small for the price. the taiyaki with the red bean paste inside is good.",2
great location and delicious baked goods. the taiyaki soft serve with matcha vanilla blend ice cream is to die for.,5
so glad they are now sakurado matcha store,5
"taiyaki with green tea ice cream is nice, however the staff broke my cookie stick and did not change it...and staff team is not nice at all...they look like zombie, no smile, no emotions~",2
"as usual the ""custard fish"" went down a treat. they had run out of char siu baos, but it was late so not a surprise. the ice creams in a fish shaped cone were delicious.",4
unfortunately i did not enjoy the taiyaki... the dough was too stodgy on the inside of the large one and there was not much custard in the small ones. the bakery itself is also so packed and they seem in such a hurry to serve you.,2
"very disappointed, we found hair in our ice cream , we threw it immediately. the ice cream tastes normal.",1
"lovely place, they have a great selection of baked goods.taiyaki is the best thing you'll ever try in chinatown and i would recommend getting them here.i would love to give bake five stars but i found the lady on till was quite rude and abrupt.",4
"i've been there several times, the large variety is always fun to try and the food is really cheap so you end up leaving with a bag full of unique snacks, the one snack friends ask me to get everytime i go are those mini taiyaki so make sure you try them as well.",5
amazing fresh baked goods. highly recommend!,5
customer services was terrible.,1
very cool shop with the fish shaped cone for ice cream. ice cream is soft and nice. can get matcha or vanilla. other buns and food is for sale too,4
lots of variety of cakes and the teriyaki was very nice as well,5
cool place with speical ice cream cones,4
"matcha ice cream in fresh fish shaped waffle ""cone"" is delicious",5
"i love everything they offered. but i hate that one elder lady with the glasses!! i simply wanted a fresh taiyaki but she only said ""it's hot, it's hot"". i don't care if it's hot, it's not fresh!",2
staff at the till so rude to the customer....make an additional order and she was not happy and told me to go away.  so disgusting!!!,1
what a massive choice of fresh bread and bakes.,5
best bakery around. very close to w london hotel. i came here every morning of my trip. come here if looking for amazing baked goods and cheap prices. ,5
"i would queue here for 3 days to get a bag of their custard fish, surprisingly moreish.",5
"great variety, lots of flavors. the ice-creams and chocolate fish-shape waffle were enough to make you willing to get in and see the rest.",4
"i come here every time im in leicester square, without fail. tuna rolls are amazing. bread is so soft and the taiyaki is extraordinary not to mention how fresh the cakes are ",5
"the staff are not nice, the lady on the counter she was rood with usin fact they have a nice looking ice cream bubble and fish it does not taste nice! and the raspberry they used was not washed!i",2
"amazing chinese bakery and ice cream.lots of sweet, savoury options and cute animal cakes.perfect treat after a meal nearby.",5
"fun waffles with a generous serve of ice-cream, an orio and fresh fruit - every child's dream.",5
"great buns, reasonably priced.",4
"not fancy, but is just amazingly good. super cheap, really tasty variety of baked goods. would recommend the savoury food massively.",5
i tried the fish cone green tea and vanilla ice cream and the mini custard filled fishies. both were delicious.,5
the taiyaki ice cream is awesome. the matcha flavour is tasty. smooth creamy ice cream. the cone is crispy and slightly chewy. they give a generous amount of ice cream too. good value for 4. plus you can get a nice photo. they also sell a variety of chinese style bake goods.,5
the buns are amazing and heavenly good  again and again i am gonna go there ,5
"great food, especially the nutella fish shaped pancakes",5
"very old school chinese baked goods - tbh theyre probably a bit niche for most westerners, but i love their chicken floss buns and other assorted goodies such as light as air padan rolls. put them on a tray and then take them to the counter to pay and have them wrapped, or youll be told off.",5
"bake is a popular shop with ice cream, genuine chinese fresh baked goods (these are at a reasonable price). the staff is efficient and works fast. they sell the hyped matcha flavoured icy creamy goodness in an japanese taiyaki. it's good but as is with most hypes - overpriced.",4
"don't know about the buns, the ice cream was nice, the cake not so much.",4
gr8,5
fresh taiyaki made on site with choice of ice creams and fillings. also a good range of chinese pastries.,5
vanilla flavour was yummy and that fish shaped cone made it much more interesting.,4
"i got the green tea ice cream. beautiful presentation, flavor was a bit lacking (couldn't really taste the green tea/matcha), but the fish pastry was delicious. i got some buns last time and they were pretty soft and fresh.",4
"tea time,supreme. pastries, apple pie, choc fudge exquisite.we enjoy it !one more time. .",5
"fun asian bakery. lots of fun options at affordable prices. there's a slight language barrier which makes their customer service seem lacking. i thought the fish ice cream thing was gonna be a total gimmick (that i wanted to be a park of nevertheless), but turns out the green tea soft serve was quite tastey.",5
the food is nice. but the customer service is the worst! the woman who serves the ice cream was so nice! dont get me wrong. but the two people at the till. extremely rude and i have been thee twice. same person and same service from her. if you are ok with having nice food but rubbish service. this is the place for you.,1
"we were too full to try anything more then the green tea ice-cream. the gimmick of the fish is very cool, and tasty. the ice-cream is not too sweet, perfectly balanced. loved it, and would definitely try other things on my next visit.",5
small take-away asian bakery. loved the small fish shaped pasty that is lightly stuffed with custard.,4
best hk style bakery in chinatown! i always get char siu bao!,4
very good chinese buns. they are very creative and flavourful.,5
"always come here for lovely cake, i'd definitely recommend the matcha green tea ice cream with the fish cone! very delicious!!",5
tried the taiyaki with green tea ice cream.yummy! looked like they had a great selection of baked things.,5
sweet sweet! i love how they made their bakery so sweet. lst time i went spent almost 20!,5
yummy! definitely worth the wait,3
the egg custards were very delicious. we also bought pineapple flavored bread etc. they were all good.,4
"i don't even wanna give them 1star. the worst customer service ever.. (maybe the lady who i talked with was just really bad, and not rest of employees.) i don't usually write bad reviews, but this place was unbelievable. thank you for ruining my first london trip! i will never go back.",1
love the pistachio ice cream that comes in a fish waffle cone.,5
"got ripped off. clearly stated 'smallest, cheapest green tea possible'. got suspicious when they asked for receipt and didn't want to give it back. 2nd star for tea ice creme taste.",2
taiyaki  so delicious !! try it out,5
"it's one of the few authentic shops around leicester square. you can find a wide range of freshly baked products. it is always crowded, and you can't expect much of service, but you can help yourself with peace of mind through a self-service scheme.",5
so-so. nothing all that special. their soft served ice cream tastes no different than something you can find easily at mcdonalds. just tastes sweet and no other flavour. buns are alright.,3
good quality tasty food.,4
fantastic food and lovely service! we come back when next time in london,5
"amazing food, with dumplings prepared in the front. usually busy so book ahead, or go early.",5
food is nice.  love the dumplings.  but my favourite is the special fried rice.  the staff is nice.,4
the finest venue in china town,5
"really disappointed, the food has no taste and the waiters were really rude.",2
"we've been here a couple of times and the quality varies but this was the worst of the worst. zero szechuan in the szechuan chicken, rubbery squid and dried out crusty xiao long bao. i've had better food and service in a mall food court.",1
"shocking service, food that we did get was mediocre, bizarrely there was a queue at the door, this place sucks, don't go.",1
disappointing - mediocre xiaolongbao soup dumplings (we tried three kinds) and a zha jiang noodles that had a sauce that was watery. prices were ok and service was fine.,3
"great dumplings, made on site! fast service and at a good price. definitely worth a visit!",4
"did not impress me at all. my kung pao chicken was terrible, one of the worst i've ever eaten. the sweet and sour soup was ok but again nothing special. i guess i will have to stick to dumplings next time.",3
some of the best food i've had ( try the spicy pork xiao long bao ),5
"terrible service, only half our order after 40 minutes of waiting and then only the flimsiest of apologies. everyone else around use got served well in time yet we were sat with nothing. not good enough so walked out.",1
"amazing food, so so tasty. would go back everyday if i could!",5
best dumpling i have had.,5
"beijing dumpling is my favourite spot in chinatown and i can assume many share my opinion seeing that there is usually a queue out the door. it goes by fast, don't worry. amazing dumplings and amazing don don noodles. highly recommended!",5
good staff and yummy food.,5
solid dumpling spot. recommend.,5
nice place. maybe could offer more dim sum choices though.,4
not authentic. poor service with bad attitude.,2
spot on review by jon wong food good service quick staff were attentive but not overly friendly would return and try the dumplings.,4
"the best chinese in london, value for money. nice and intim atmosphere.",5
"the food in this place is exquisitely delicious, and the atmosphere is excellent.",5
"really happy with this one. much nicer than the last dumpling place that i've visited a couple of months back. all the dishes were very good. dumplings, taiwanese fried chicken and some home made thick noodles. all goodbasement seems to be not suffer from the cooking of the dumplings creating a stuffy atmosphere at street level.",4
"lousy cooking skills aside, terrible service - so rude, so arrogant and so uncivilised.",1
"the food here is amazing. great service,excellent value for money",5
unbelievable choices for vegetarians. the dumplings are delicious and the salt and pepper tofu is super moorish.,5
"the dumplings are the only good thing here, rest of the menu is below average and the service is by far the worst i have experience in 7 years in london.",1
had the hot pot with spicy and corn broth - both good. good selection of seafood and meat.,5
"great food, they were very helpful with allergy advice. bit of a wait for a table.",4
below what i expected from the existing ratings and patron waiting outside.,3
soup doups.,5
some of the best dumplings around and much more. the firecracker chicken is amazing.,5
"great chinese restaurant,  fresh and well price",5
loved it.,5
delicious and not expensive,4
muito bom e barato,5
amazing food !!,5
"excelente food, big portions, good price!the ""la capital"" plate is exquisite! also the coconut curry chicken. you can order both to be less spicy.",5
"we had so much expectations walking in thinking we would get the xiao long bao(soup dumplings) filled with mouth burning broth, which is the main selling point of the restaurant, but we were disappointed slightly. the xlb had very little broth inside. but other dishes that we had weren't too bad.",3
"probably the best chinese food i have had in the uk. reasonable prices. good, fast service.",5
so so delicious. totally worth the wait!,5
ristorante buono degno delle 5 stelle,5
"eating very delicious and ok, service a little bit unfriendly and annoyed.",2
"delicious. but very crowded, sometimes you cant hear other people on your table because there are 6 white girls on the next table screaming and shouting. besides that lovely.",4
awesome food and service.,4
we have been going there for years. great dumplings and well worth queuing for,5
the service was quick (although it was quiet at the time) and the food was absolutely delicious. you can see them making the dumplings so you know that they're as fresh as they should be. i highly recommend.,4
great food with good service,4
some great vegan options. busy place.,4
"very fresh dumplings. despite the large que to sit in, i would highly recommend here if you are in china town",5
cool.,3
fast service and good dumplings,4
"the dumplings are great. pay no attention to the service, because it is terrible.",1
have been there twice and was delighted twice. good service and great value for the delicious food!,5
very good xiao long bao. other dishes are excellent and good prices. expect bit of queue on the weekend,4
"fine food, nothing exceptional. the wooden tables are all sticky, i assume from the washing liquid being used on them.",3
"amazing. best chinese food i had for a long time. i'd highly recommend, taiwan pork chops especially, good",5
"ordered take away, havent try food yet, but the services are great here!",5
"weve been craving some xlbs and they didnt disappoint. we tried the pork, the crab and pork plus we couldnt go past the fried dumplings (pot stickers)get here early to miss the queues but its worth the wait.",5
fantastic! from the kung pao chicken to the peking duck and the xiao long bao the food is very tasty.,5
you really need to go here if you want some of the best dumplings,5
oh wow one of the best dumplings i have had in london and i live here and have been to lot of places in the neighborhood,5
"quirky menu takes you away from many of the english ""specials"" and leads to a more authentic and rustic meal. food good, the deep fired king prawns in egg yolk very good if a little salty. fast service, basic setting, but great value for money.",4
excellent food! and great atmosphere~ recommend the four season bean with minced pork...it's great!,5
"really disappointed, bad food",1
great place for dumplings and sharing plates. you can also book online which is great if you do not want to wait. best xiaolongbao in china town!,5
amazing! worth the wait we experienced during lunchtime.,5
pretty decent xiao long bao except not enough soup. the other dishes are so so,3
"my second visit.  had fried pork dumplings, steamed chicken dumpling soup, beef ho fun, roast duck, sweet and sour pork - all superb.  service was prompt and polite.",4
i loved the food. one of the best places in china town.,5
fantastic freshly made dumplings and other delicacies,5
"come early to avoid a wait, but the line moves fairly fast. the food is good for uk chinese, but not really beijing.  the pork xiao long bao were great though!",4
"dumplings we'e very good, staff was friendly, but i would past on the satay chicken.",4
amazingly fresh and tasty! so reasonably priced too. good service.,5
"more like dumplings by dumplings. decent food however the service was terrible and ruined the experience. when we declined to pay the service charge, staff cursed us in chinese. !",1
this resto serves the traditional chinese fares but the dumplings are yummy. freshly made and reasonably priced too. went there on a weekday so seating was easy. i can imagine the difficulty going here on a weekend considering its location. service is average.,5
"nice place with very nice food and in good amount. fast service, you might cue if you come in peak hours. it could be 5 stars if the staff was less rude when serving the dish.",4
they are asking for 10 min spend per person without any notice.,1
"i went for the dumplings and i was disappointed, too thick and not enough filling. the rest was nice!!",3
"been to this couple of times and wow the food are amazing. tried different dumplings, the dry chicken noodle and the salt and pepper type chicken. they all had very authentic taste and seeing the chefs making the dumplings certainly adds to that experience. i would go back everytime i go to soho.",5
good dumplings f or central. men could do with better description though,4
