label,name,text
4,Beijing Dumpling,"Good dumplings and fish dim sum, other dishes seemed good but I didn’t order.
Easy going place, very quick service and perfect for a pre theater dinner"
5,Beijing Dumpling,"The pan fried dumplings were just incredible. I could have eaten about 10, they were so moreish! One of the best places in Chinatown for food!"
5,Beijing Dumpling,"Great Chinese restaurant providing quite a lot of dishes to choose from. The service was quick and prompt..  The beef ho fun is a really lovely dish to try. The mixed meat and sea food ho fun is also quite a treat containing prawns, squids , chicken , beef , pork , and loads more... Food bloggers this is a place you gotta try out"
5,Beijing Dumpling, 
5,Beijing Dumpling,The dumplings are superb.
4,Beijing Dumpling, 
5,Beijing Dumpling, 
4,Beijing Dumpling,"Overall, I really liked this place. As a dumpling house, their main features were really good. We had the pork xiao long bao, the crab and pork xiao long bao, the spicy xiao long bao and the pan fried dumplings. They were all pretty good. …"
4,Beijing Dumpling, 
5,Beijing Dumpling,"(Translated by Google) Very good dumplings.

(Original)
Bardzo dobre pierożki."
5,Beijing Dumpling, 
5,Beijing Dumpling, 
5,Beijing Dumpling, 
4,Beijing Dumpling, 
5,Beijing Dumpling, 
5,Beijing Dumpling,"(Translated by Google) Authentic Chinese restaurant

(Original)
מסעדה סינית אותנטית"
5,Beijing Dumpling, 
3,Beijing Dumpling, 
5,Beijing Dumpling,"(Translated by Google) Unwelcoming welcome but the restaurant is great. The wait is worth the effort. Very very good. To do and redo.

(Original)
Accueil non chaleureux mais le restaurant est génial. L'attente en vaut la chandelle. Très très bon. A faire et refaire."
5,Beijing Dumpling,From now on my go to place for dumplings!!! Long live beijing dumpling!!! They treat you really great!!!!
4,Beijing Dumpling,"Good value food, big portions"
5,Beijing Dumpling, 
5,Beijing Dumpling, 
4,Beijing Dumpling,"Good food and dumplings. The quality of the food is high, but the staff could be more attentive. Prices are reasonable."
4,Beijing Dumpling, 
5,Beijing Dumpling, 
5,Beijing Dumpling,Always amazing tasting and quick to come out! Best xiao long bao that I’ve ever had!
5,Beijing Dumpling, 
4,Beijing Dumpling, 
1,Beijing Dumpling,"(Translated by Google) It's so salty and soggy that it's not chewed and onions are not ripe so it's wasteful
Dim Sum was served with thick, even burnt dim sum.
Here is a suspicious taste
It's a disappointing restaurant.

(Original)
미리 튀겨놓은 …"
2,Beijing Dumpling, 
3,Beijing Dumpling,"To be honest, I couldn't see what the hype was about with this place. The queue was about 20 minutes to get in and the dumplings were not all that. We had other dishes but I just was not keen. Maybe give it your own review (maybe I was missing something) but I would not go again"
4,Beijing Dumpling, 
4,Beijing Dumpling,Delicious and not expensive
5,Beijing Dumpling, 
4,Beijing Dumpling, 
5,Beijing Dumpling, 
4,Beijing Dumpling, 
4,Beijing Dumpling,"Dumplings were satisfactory but did not live up to my expectations, comparing to other eateries I’ve tried in Chinatown and London in general. The dumplings (小笼包 xiao long bao) were small, didn’t have much broth, and the bottom skin stuck …"
5,Beijing Dumpling,Best pork fried dumplings I've ever had! They even made tofo taste good.
5,Beijing Dumpling,Loved it.
3,Beijing Dumpling, 
4,Beijing Dumpling, 
3,Beijing Dumpling,"The dumplings are incredible. We tried the dumpling platter and it was the bomb. Tom
Yum soup was rather boring. The fried rice is good. The spicy sauce comes in a tiny sauce cup
and I have to ask for more. Our waiter was horrible. He never …"
5,Beijing Dumpling,"We were there on a Wednesday evening in March. We tried many different courses: different kinds of dumplings, prawns with cashew, rice, sweetsour chicken ... the food was plenty and delicious, service quick although the restaurant was full. Would definitely recommend. Booking advisable on weekends as there can be a long line."
3,Beijing Dumpling, 
5,Beijing Dumpling,Wonderful
5,Beijing Dumpling, 
5,Beijing Dumpling, 
5,Beijing Dumpling, 
5,Beijing Dumpling, 
5,Beijing Dumpling,"I Love this place. The dumplings are amazing. My family always eats here when we are in town. The first time we went we didn't like that the server was rude. But now we sit in his section everytime, his attitude is part of the experience. Very entertaining ."
5,Beijing Dumpling,Fantastic place to eat in London
5,Beijing Dumpling, 
5,Beijing Dumpling, 
5,Beijing Dumpling,"Ate an early dinner this evening. Excellent service. Nice, friendly staff. The food was outstanding!  Roasted duck, Dan Dan noodles and dumplings were all delicious. Definitely would return and hope to do so."
4,Beijing Dumpling, 
5,Beijing Dumpling, 
5,Beijing Dumpling,Loved the food.
4,Beijing Dumpling,Good handmade dumplings. Long queue
5,Beijing Dumpling, 
5,Beijing Dumpling, 
4,Beijing Dumpling, 
5,Beijing Dumpling,"Fantastic service, food was really good. Gets mad busy."
1,Beijing Dumpling, 
4,Beijing Dumpling, 
4,Beijing Dumpling,Very busy place and the service isn't particularly polite but damnnn... they's some tasty dumplings. Food is great.
4,Beijing Dumpling, 
2,Beijing Dumpling, 
5,Beijing Dumpling, 
5,Beijing Tong Ren Tang Retail Ltd, 
5,Beijing Tong Ren Tang Retail Ltd, 
1,Beijing Tong Ren Tang Retail Ltd, 
4,Beijing Tong Ren Tang Retail Ltd, 
5,Beijing Tong Ren Tang Retail Ltd,"Competent Chinese medicine, a nice place, and reasonable prices."
5,Beijing Tong Ren Tang Retail Ltd, 
5,Beijing Tong Ren Tang Retail Ltd, 
5,Beijing Tong Ren Tang Retail Ltd, 
5,Beijing Tong Ren Tang Retail Ltd,"(Translated by Google) Dr. Guo is super.

(Original)
Dr. Guo is super."
4,Beijing Tong Ren Tang Retail Ltd,"(Translated by Google) Do not want to be at the same level as the domestic level, but at least not pit people. From this point of view, it has been better than many British ""Chinese Medicine Museum.""

(Original)
不用妄想跟国内同水平，但至少不会坑人，从这点上来看就已经好过很多英国的“中医馆""了。"
5,BIG C 100 Desserts Cafe,"Very good food and good communication with customers. 
Recommended  10000% love it"
1,BIG C 100 Desserts Cafe,They charged Service charge ??? Without any service ?? Ok
5,BIG C 100 Desserts Cafe,"The best dessert  I’ve tried! Great choice,interesting tastes."
5,BIG C 100 Desserts Cafe,"Lovely intimate little venue ，perfect for a date.
We had some excellent fruit dessert,it was a life changing experience.
Highly recommend this place."
1,BIG C 100 Desserts Cafe,Bad quality food and bad service. Very disappointed
1,BIG C 100 Desserts Cafe, 
1,BIG C 100 Desserts Cafe,"Review from an Asian Tourist. 

The aesthetics of the dessert is good but it is overpriced and most importantly, tastewise, it’s a no go. I got the black sesame/walnut paste soup and the walnut part tasted super bland whilst the black …"
3,BIG C 100 Desserts Cafe,"The dessert is tasty and there are lots of variety on the menu, the price is reasonable, I would recommend this cafe if only talking about food. But this cafe is quite small, we had 5 adults and 1 child and the table is very small and …"
1,BIG C 100 Desserts Cafe,Service is too bad. We try to enjoy the food but the attitude of the waitor is too annoying!!!
4,BIG C 100 Desserts Cafe,yummy matcha snowdae (shaved milk ice). server was quite unfriendly but overall a pretty good experience.
5,Bubblewrap Waffle, 
4,Bubblewrap Waffle,오레오크런치(오레오과자+딸기치즈케이크젤라또+소금태러멜토핑) 안달다해서 먹어봣는데 첫맛 세상 개달달개존맛 버블와플은 세상에 이렇게 부드러울수가 한국에도 있엇음 꼭 갔다하지만 반정도먹고나면 너무달아서물림 그래도 첫맛은 존맛인정
4,Bubblewrap Waffle,Such scrumptious flavours. I love that you can create your own and the fact that they had vegan options.
5,Bubblewrap Waffle, 
4,Bubblewrap Waffle, 
5,Bubblewrap Waffle, 
5,Bubblewrap Waffle,What can i say. If you like sweet waffles then be prepared for a taste sensation.
4,Bubblewrap Waffle, 
5,Bubblewrap Waffle, 
5,Bubblewrap Waffle,"Very popular for good reason. Fast service, lovely ice cream waffles with great selection."
5,Bubblewrap Waffle,Three vegan ice cream flavours that were all yummy. The vegan peanut butter waffle base was delicious too. Very substantial snack.
5,Bubblewrap Waffle,So yummy ❤️❤️
5,Bubblewrap Waffle, 
4,Bubblewrap Waffle, 
2,Bubblewrap Waffle,They should pay attention what we really want but I know they just want to sell this evening I asked for chocolate icecream and vanilla plus doble chocolate sauce and I get something that I wasn't expecting. I'M REALLY DISAPPOINTED
4,Bubblewrap Waffle, 
4,Bubblewrap Waffle, 
4,Bubblewrap Waffle,"(Translated by Google) I like that place very much
Ice cream shop in the heart of the Chinese city in London
Its price is slightly higher than usual
But the quality of service it provides is great
It allows you to design the ice cream you …"
3,Bubblewrap Waffle, 
4,Bubblewrap Waffle, 
5,Bubblewrap Waffle,"I think the five stars goes to the staff. The food was delicious also, but the guy who served us did such a wonderful job and made the experience so enjoyable. I didn't get his name but he had brown curly hair and a lovely approachable …"
5,Bubblewrap Waffle, 
4,Bubblewrap Waffle,Quick serving. Good selection
5,Bubblewrap Waffle, 
5,Bubblewrap Waffle,"We come here everytime we come to London, I can not recommend this place highly enough,
Friendly staff"
4,Bubblewrap Waffle, 
3,Bubblewrap Waffle,"The most instagrammable food ever! We went in to get my daughter a bubble waffle and she absolutely loved it. She went with a quadruple chocolate creation. However, the place is expensive. And we had to queue for about 15 minutes. My son …"
5,Bubblewrap Waffle,A great idea! Waffle was nice and light and the toppings were delicious
5,Bubblewrap Waffle,"WOW, Very tasty"
4,Bubblewrap Waffle, 
5,Bubblewrap Waffle,Great tasting waffles and ice cream combos
5,Bubblewrap Waffle, 
5,Bubblewrap Waffle,Very yummy! Long line but went fast.
5,Bubblewrap Waffle,"(Translated by Google) A massacre. The ice creams are very good, the waffles too. It lacks a bit of explanation for non-regulars, but the suggestions are relevant and allow a first successful experience. Please note, it is very small, do …"
5,Bubblewrap Waffle,"Tasted delicious, great customer service, good texture in the food, friendly staff"
2,Bubblewrap Waffle,"Was good last year, unsure what happened but I wouldn't go there again.. Waffle wasn't what it used to be.."
5,Bubblewrap Waffle,"Such a delicious and positive experience, great bubblewrap waffle with a lot of vegan options! I was also surprised with the large portion sizes. I highly recommend this place :)"
5,Bubblewrap Waffle, 
5,Bubblewrap Waffle,"(Translated by Google) Simply incredibly tasty and freshly prepared for every customer. You like to wait a little longer.

(Original)
Einfach unfassbar lecker und für jeden Kunden frisch zubereitet. Da wartet man gerne ein bisschen länger."
4,Bubblewrap Waffle,"(Translated by Google) Super good!!!

(Original)
Super bon!!!"
5,Bubblewrap Waffle,"Wow,my wife is happy😉,see you next time."
5,Bubblewrap Waffle,"Right in the heart of Chinatown, shame they can't have a larger space because the cashier is right by the door, which means sometimes you'll be waiting in the rain. They have a great selection of flavours and there's generally new seasonal items to try if you visit often"
4,Bubblewrap Waffle,I like Waffles and I like ice cream.....what more could I ask for in a venue !
5,Bubblewrap Waffle, 
5,Bubblewrap Waffle,"(Translated by Google) Ingenious waffles. Otherwise only in Hong Kong.

(Original)
Geniale Waffeln. Gibt's sonst nur in Hongkong."
5,Bubblewrap Waffle, 
5,Bubblewrap Waffle, 
5,Bubblewrap Waffle, 
5,Bubblewrap Waffle, 
5,Bubblewrap Waffle, 
4,Bubblewrap Waffle, 
4,Bubblewrap Waffle, 
5,Bubblewrap Waffle, 
3,Bubblewrap Waffle,"It's a fun, unique desert you can enjoy in the area. Worth to try it at least once! It's a bit overpriced but pretty good. I loved the waffle but the whole combination with ice cream and other things was a bit too sweet for me. I couldn't …"
5,Bubblewrap Waffle,"Possibly the best bubble waffle shop I've been to! If I lived in London, I'd most likely go here every week!"
4,Bubblewrap Waffle, 
4,Bubblewrap Waffle, 
4,Bubblewrap Waffle,Oh love the unique idea of bubble wrap waffles and  Gelato...I had a customized apple pie waffle with strawberry cheesecake gelato.. sprinkled with KitKat and white chocolate..it was simply amazing..!!
5,Bubblewrap Waffle, 
5,Bubblewrap Waffle, 
5,Bun House,Really delicious food. I would recommend the prawn steamed dumplings and the smashed cucumber in particular. But everything we had was great. It's a self service restaurant so you order at the till and take a tray to your table or take a …
5,Bun House, 
4,Bun House, 
5,Bun House, 
5,Bun House, 
5,Bun House,"This place is delicious. I've only gotten take away. The chicken rice pot is to die for, and so are the garlic cucumbers. Easy on the wallet too. Main guy working take away is also always friendly."
5,Bun House, 
5,Bun House, 
5,Bun House,What a taste on such a small piece of steam bun!
5,Bun House, 
5,Bun House, 
4,Bun House, 
5,Bun House,So damn tasty! Will be back
5,Bun House, 
1,Bun House,Bun is not tasty nor authentic . Those think the bun good might never tried real buns.
5,Bun House,Shumai is awesome! Cooked fresh
4,Bun House,"Pretty good Hong Kong-style Street food. We have been going to this place (and its sister restaurant) for a while now - it’s super busy particularly at night so would try to come during off-peak hours. 

Things that I really liked: 
- Curry …"
5,Bun House,Very cozy place. The bao was great and not too expensive
3,Bun House,Ok place to eat. Nothing special.
4,Bun House,2 buns and 1 beer cost 8.8 pounds. Good! Better than Beijing dumpling next door.
5,Bun House,"Casa de baos e comida chinesa, o ambiente é muito bom e a comida é espetacular, pedimos o menu de baos que inclui dois baos á escolha e uma cerveja chinesa do dia, pesos também um prato de tripas que são maravilhosas e outro de arroz e carne.
A cerveja é boa e o lugar é bastante concorrido. É pré pagamento."
5,Bun House,"Tasty and cheap Cantonese steamed buns. Definitely recommend the custard buns, they are absolutely delicious."
5,Bun House,"One of the probably most delicious treats in all of China Town. This fine establishment provides a range of steamed buns and other goodies such as beef brisket rice bowls. I would seriously recommend trying the fish bun, simoly darling. For …"
5,Bun House, 
5,Bun House,Really tasty food and instant Bao buns as you order. I'll definitly be back
4,Bun House, 
4,Bun House,Good buns for cash strapped hungry people. Only take credit cards!
5,Bun House,Delicious custard bun and veggie bun. Very filling!
5,Bun House,So good! Love their veggie buns
5,Bun House,"Wow, spontaneously decided to pop in for a single bun and ended up ordering a plate. Cozy and tasteful interior, chilled lo-fi tunes, friendly staff and absolutely fantastic food!"
4,Bun House,"Nice cosy small place with great flavour bao & other Asian food. Good atmosphere and friendly service, would definitely recommend if passing through the area"
5,Bun House,"Amazing! Buns were okay, but would recommend getting the rice pots/small dishes. Flavour was very good and decent price. Definitely coming back to try other small dishes here."
5,Bun House, 
5,Bun House, 
5,Bun House, 
5,Bun House,Really exceptional buns and flavours. Must have a custard bun.
5,Bun House, 
5,Bun House, 
4,Bun House, 
4,Bun House,"Really nice bun, large choice and typical drinks also available.
Too bad that the seating is a bit random."
5,Bun House,"Love the yasai bao, pickled cucumbers and quick service!"
5,Bun House,Easy on the menu and easy on the wallet. Good amount of choices with comfy happy service. It can get a bit busy at times but it's worth a wait if you must. A bit touristy yet good reliable choice.
5,Bun House,Loveeee the food here. Vintage vibes and very good buns!
4,Bun House,"(Translated by Google) I ate pigburn and giblets.
Pigburn tastes like delicious meat bread
Gopchang expected strong mara scent, but its sweeter than it would have been bitten
It's good because there are many seats on the second floor. …"
3,Bun House,The quality of the dishes we ordered were more like a takeaway than a restaurant. I guess it was our first and last visit to this place.
4,Bun House,Very authentic
5,Bun House,"(Translated by Google) The best buns of my existing

(Original)
Les meilleurs bun de mon existante"
4,Bun House,❤️Bun house is a restaurant that sell traditional Cantonese dim sum and dishes. I ordered the custard bun and the beef brisket scallops rice. I highly recommended everyone to try the custard bun! The flavour and texture is the same as the …
5,Bun House, 
5,Bun House, 
5,Bun House, 
3,Bun House,"The food is really good, especially the buns. The setting is also really nice, but very dirty which made me uncomfortable. The tables and dishes are well kept, but a better cleaning of the seatings should be made. The service is good though!"
5,Bun House,"The bao bun was super fluffy, sweet and delicious. Probably the best bao bun I’ve ever had. It was there perfect comfort food for the cold weather. Would 100% go back. Defo recommend !!"
3,Bun House, 
5,Bun House,"Simply, and consistently, the best bao buns in town. I have a preference for their tripe as well, it's delicious, but the rest of the menu is full of great choices, you can't go wrong with this establishment.

Kudos to the team as well, no matter how busy it gets they're always cheerful and very polite."
5,Bun House, 
5,Bun House,Never disappointed! Hole in the wall but love this place and all it has to offer.
3,Bun House, 
5,Bun House,Lovely buns! The duck egg custard is 🔥🔥🔥
4,Bun House,Nice food
4,Bun House,"The custard in their custard buns tastes amazing, just wish there was more of it."
4,Bun House, 
3,Bun House,I really enjoyed the custard buns and Wok Fried Cheung Fun. Staff could be more friendly.
5,Bun House, 
5,Bun House,"Amazing food, great beer, visit every time I have a chance"
5,Bun House,Love this place ! Very casual joint
5,Bun House, 
5,Bun House,"Fantastic! The buns here are delicious - we always come here whenever we're in London. All the bun options are amazing, watch out for the custard one though, it is quite explodey, in a delicious custardy sort of way."
5,Bun House, 
4,Bun House,Sadly don't take cash.💸 The taste was good
3,Bun House, 
5,Bun House, 
5,Bun House, 
5,Bun House,My favourite place to go of all time
5,Bun House,"Lovely service, relaxed and affordable. Brilliant buns"
5,Bun House, 
4,Bun House,"Very cute place! Portions are small so need to order at least a few things for a meal. Otherwise, great for a snack. The buns were great."
5,Bun House,Delicious!
5,Bun House, 
5,Bun House,"The chicken, lamb, beef and custard buns were incredible!"
5,Bun House, 
5,Bun House,Amazing buns look out for the custard and the brioche like bun they are 😍😍😍😍
5,Bun House,Great food and good prices. Staff are very friendly also
5,Bun House,"Delicious, fast and good value for money. Staff were also friendly and the atmosphere was very cosy and nice"
5,Bun House, 
5,Bun House,The best buns in town!!!
5,Bun House,"Soooooo damned good

Thanks!"
4,Bun House, 
5,Bun House,Great selection of top buns
5,Bun House, 
3,Bun House, 
5,Bun House, 
4,Bun House, 
5,Bun House,"(Translated by Google) Eat only custard buns. Chewy bread and cream inside. But the cream looks like water so if you bite it

(Original)
커스터드번만 먹어봄. 빵 쫄깃하고 안에 크림 고소하다. 근데 크림이 물같아서 한입 베어물면 퐉 터져나오니 조심하시길"
4,Bun House,"Very good food, non ernational service"
3,Bun House,Good menu but not to vegetarians
4,Bun House, 
5,Bun House,"Excellent and authentic food, tried all of the dim sum and the flavours and quality was on point. Definitely would come back again."
5,Bun House,"(Translated by Google) Tasty, large portions

(Original)
Вкусно, большие порции"
3,Bun House, 
4,Bun House, 
5,Bun House,Bun House never disappoints 😋
5,Bun House, 
5,Bun House,"(Translated by Google) A delicious soup

(Original)
Pyszna zupka"
5,Bun House,Nice little place. The custard bun is nice. The wings are crispy. Definitely want to come back to try more buns.
5,Bun House, 
5,Bun House, 
5,Bun House,The food was delicious and good value for money.
5,Bun House,Stumbled across this place on a day out in China Town. Amazing value for such high quality dishes! I’d recommend the Chicken Bao and Scallion Chicken Rice Pot.
5,Bun House, 
5,Bun House,"Recommended! They do absolutely fantastic custard bun, must try, the custard filling will flow out when you take a bite! Their shrimp dumpling is also very tasty!"
5,Bun House,Really good dim sum here. My favourite is the runny custard bun which is hard to find in the UK. They also do a variety of other Chinese dim sum which is all freshly made and tasty.
4,Bun House, 
5,Bun House,Great place to eat. Pork buns followed custard ones are the way to go!!! Messy but deliciously rich and tasty.
4,Bun House,Good food and cool atmosphere upstairs
5,Bun House, 
5,Bun House, 
4,Bun House, 
5,Bun House,Great food!! Highly recommend!
5,Bun House, 
5,Bun House,That custard bun......
4,Bun House, 
5,Bun House,Love the custard (lau sa) buns!
5,Bun House, 
5,Bun House,"Quick, simple and tasty."
4,Bun House,Really lovely food. If you want to know which bun is which the Chinese symbols are at the bottom of your receipt.
5,Bun House,Delicious
5,Bun House,"3rd time here, all I can say is yum! 😋"
5,Bun House, 
5,Bun House, 
4,C & R Cafe Restaurant,Decent Malaysian food.
5,C & R Cafe Restaurant,"I had the roti and sauce followed by the Singapore Laksa and was genuinely blown away by the quality of the food. Tremendous value and I'm still thinking about that Laksa 5 days later!  Will be back multiple times, no doubt."
2,C & R Cafe Restaurant, 
4,C & R Cafe Restaurant,Malaysian/Chinese caff. Good food and the staff seem to enjoy their job.
3,C & R Cafe Restaurant,Food mediocre
4,C & R Cafe Restaurant,"(Translated by Google) In London there are many small streets where you can taste exotic dishes at will.
This little Malesian restaurant is excellent, I recommend it.

(Original)
A Londres il y a de nombreuses petites rues où l'on peut …"
5,C & R Cafe Restaurant, 
5,C & R Cafe Restaurant, 
5,C & R Cafe Restaurant, 
5,C & R Cafe Restaurant,This is a great hidden gem. Great food no nonsense service in and out. Sometimes there's a q
5,C & R Cafe Restaurant, 
4,C & R Cafe Restaurant,The venue is well lit and spaced out nicely for the small space.
5,C & R Cafe Restaurant,"(Translated by Google) Delicious

(Original)
Riquisimo"
4,C & R Cafe Restaurant,"A relatively small (albeit spread over two floors) unpretentious restaurant in the heart of London Chinatown - tucked away down a small alley off Wardour Street.

Although marketed as Malaysian cuisine, dishes are also Taiwanese, …"
4,C & R Cafe Restaurant,"Lamb curry, always a good choice"
5,C & R Cafe Restaurant, 
4,C & R Cafe Restaurant, 
4,C & R Cafe Restaurant,Great food but poor service
4,C & R Cafe Restaurant,Good food at reasonable prices
5,C & R Cafe Restaurant, 
4,C & R Cafe Restaurant,Decent place for laksa in London. Service is very quick and efficient.
5,C & R Cafe Restaurant,"Stunning food served with a smile ,great value for money"
5,C & R Cafe Restaurant,"My first time going there after my partner has been non stop nagging at me to go there with him for months now.

Honestly one of the best Maylasian food restaurants in London (and that is saying at lot about this place to be honest) 

We …"
4,C & R Cafe Restaurant, 
4,C & R Cafe Restaurant,"Carb heavy,  spicy and fragant and at times squishy food, enjoyable!"
4,C & R Cafe Restaurant,Cheap and cheerful gem! Tasty food at a good price. Sometimes a bit cramped but this isn't a big issue.
5,C & R Cafe Restaurant,Great food and price.  We have been going here for over 15 years
5,C & R Cafe Restaurant, 
4,C & R Cafe Restaurant,"Very nice place, they could serve half portion for half price. Is worth it to go"
5,C & R Cafe Restaurant, 
4,C & R Cafe Restaurant,Good laksa - but veg and other smaller things are overpriced
4,C & R Cafe Restaurant,"Really great traditional and authentic Malaysian restaurant. The food is generally great, my fave being the Singapore Laksa which is more coconutty - my fave laksa place in London anyway. The other foods are great as well - roti canai. …"
3,C & R Cafe Restaurant,A Bit slow in serving you but the food was good
3,C & R Cafe Restaurant,"Most Malaysian style cooking. Good selection of dishes but nothing exciting.
Good service."
3,C & R Cafe Restaurant, 
4,C & R Cafe Restaurant, 
5,C & R Cafe Restaurant, 
3,C & R Cafe Restaurant,"Nice, but found it to be more quantity over quality."
3,C & R Cafe Restaurant,Great food but the waiter on the first floor was rude. Not an issue since I won’t be back here again.
4,C & R Cafe Restaurant,Friendly staffs and delicious Seafood Tomyam yummy 😋
5,C & R Cafe Restaurant,"Authentic Malaysian food
Had the Hokkien Mee (noodles) which was exactly as one would get in Malaysia - absolutely delicious!

The chicken satay sadly is not as good - seems fried (not charcoal grilled) and the peanut sauce is not that great - still very good."
1,C & R Cafe Restaurant, 
5,C & R Cafe Restaurant,Don't miss this place if u like Malaysia food. It just taste like home - must come
5,C & R Cafe Restaurant, 
5,C & R Cafe Restaurant, 
4,C & R Cafe Restaurant,Nassi lemak is the best!
5,C & R Cafe Restaurant,Great food and service. Will be back to try some more dishes from the huge menu
5,C & R Cafe Restaurant, 
5,C & R Cafe Restaurant,"Superb. The Singapore Curry Laksa is amongst the best you'll find London. The Rendaang is another must try too.

Love this place."
4,C & R Cafe Restaurant,"Get the Singapore Laksa!! So delicious, filling and cleansing. Ambience is lacking and if it's busy then you might be a bit too close together but it's worth it for the singapore laska, £9 well spent!!!"
5,C & R Cafe Restaurant, 
5,C & R Cafe Restaurant, 
4,C & R Cafe Restaurant, 
