text,label,place
"they are very prompt, friendly and accommodating. but my nail polish had chipped in less than 24 hours. the staff had accidentally clipped my cuticle which made my cuticle bleed. my nails in general feels more brittle after this.",1,3d nails @ Le Salon London China town
love love love these girls ,5,3d nails @ Le Salon London China town
good service,4,3d nails @ Le Salon London China town
ok,3,3d nails @ Le Salon London China town
joice is amazing! lots of fun and very professional,5,3d nails @ Le Salon London China town
"great little shop under hair salon. charming ladies, did a great job, very quickly too! ",5,3d nails @ Le Salon London China town
adriana did my nails and i loved it! these bunch are so lovely and you will instantly feel so welcomed the moment u walk in! just be aware that the shop is underground so you need to find le salon shop then they should be able to direct you to where 3d nails is ,5,3d nails @ Le Salon London China town
"fiza is amazing, she's very friendly and smiling all the time. i had shellac manicure that took her 15 mns to do it although it usually takes at least 40 mns, but she's so efficiend and quick. i went in randomly and she received me without an appointment. i highly recommend her.",5,3d nails @ Le Salon London China town
great service but the polish had already come off most of my nails i am absolutely gutted i paid a lot of money for my nails for my holiday and i'm going to have to get them repainted even before i go on holiday! it's only been two days.,3,3d nails @ Le Salon London China town
friendly staff and excellent gel nails. easy to drop in and be seen. i will definitely be going back.,5,3d nails @ Le Salon London China town
ladies are nice but it's well overpriced and the lady did not do my nails the way i wanted so i'm a bit disappointed. won't be returning. after only a few days the bottom of the nails are coming up!!,1,3d nails @ Le Salon London China town
"hands down best nail salon i've been to, friendly staff amazing nails and great price :)",5,3d nails @ Le Salon London China town
fast and efficient,5,3d nails @ Le Salon London China town
"best manicure i've had (and i've had lots!) lovely, lovely staff. will definitely be back :)",5,3d nails @ Le Salon London China town
excellent experience!!!!,5,3d nails @ Le Salon London China town
"absolutely love this place. fiza is the best, such a great atmosphere!",5,3d nails @ Le Salon London China town
overpriced pedicure (35); friendly staff; odd atmosphere,2,3d nails @ Le Salon London China town
"joy did my nails. she was so lovely! very kind, funny and professional. i had a lovely experience and each nail was perfect :) ive never had gel nails that have lasted this long either... got so many compliments! would definitely recommend this place.",5,3d nails @ Le Salon London China town
fiza is amazing ! she helps you choose the best for your nails and i visit her after 5 years when i visit london ,5,3d nails @ Le Salon London China town
the first place ive trusted to do my very thick eyebrows in two years! such a fun little salon,5,3d nails @ Le Salon London China town
"it is really good. i was there a few months back and just searched it up again to make an appointment for the next day. not that often in london, but if you are there, they are the best",5,3d nails @ Le Salon London China town
"first time in london. looking for a manicure and pedicure and stumbled upon this place. i lucked out! it is a little tricky to find as it is in the basement of a hair salon. these women know what theyre doing! ana, did an excellent job  and was so sweet :-) everyone was very friendly despite being extremely busy!",5,3d nails @ Le Salon London China town
got my nails done today - adriana did a great job and was really friendly and chatty which im not used to in nail salons!! 10/10 - will return when im next in london!!,5,3d nails @ Le Salon London China town
"definitely going back, had a lovely nude shellac colour on my natural nails.. the ladies accepted my last minute booking and were so friendly great job",5,3d nails @ Le Salon London China town
"(i love the energy in this shop! very classic family spot like the places my mother used to take me to)not only that, the nails are great, shape and filing is important, and 3dnails has the time and imtimacy to give you a good look and feel. visit if you work in the city!",5,3d nails @ Le Salon London China town
a real gem of a salon.  fiza and her team are amazing.  skilled nail technicians that are spot on with recommendations and gel manicures.  make you feel very welcome indeed and understand when you need to be super quick on a lunch break.  highly recommended.,5,3d nails @ Le Salon London China town
best service ever. fiza and her team are brilliant and professional. they made my nails look great every time! never get bored or disappointed from them. highly recommended!,5,3d nails @ Le Salon London China town
got my nails done for my graduation :) the staff are all so friendly and warm! theyre also super experienced and my nails came out so amazing and lovely ! very worth the prices considering the quality !!!,5,3d nails @ Le Salon London China town
"plain rude! started painting my nails without giving me colour options. asked for a polish easy to remove, she painted my nails with gel nail polish. 35 absolutely not worth it, and it was supposed to be a treat, felt really disrespected. go somewhere else!",1,3d nails @ Le Salon London China town
these girls are amazing and deliver high quality work and experience every time!!,5,3d nails @ Le Salon London China town
fantastic! i went for a walk-in appointment the day before my wedding and came out with beautiful nails that everyone complimented me on. great friendly service.update: the nails lasted really well and i've had so many people compliment my nails. thank you so much! you really are creative and talented.,5,3d nails @ Le Salon London China town
adriana did an excellent pedicure.  loved it,5,3d nails @ Le Salon London China town
came in as a walk in this afternoon and had a great manicure. shes lovely too and it was a relaxing experience in the middle of china town,5,3d nails @ Le Salon London China town
best gel manicure ive ever gotten. came twice while in london for a month. alex is amazing and i watched fiza do some awesome acrylic nail art to the people next to me. highly recommend!!!!,5,3d nails @ Le Salon London China town
"good services, professionals staff. highly recommend.",5,3d nails @ Le Salon London China town
mi wife and i have been patrons of the salon for a year. always excellent service and warm hospitality. ped and mani are the servicrs we have. book in advance!!!,5,3d nails @ Le Salon London China town
i have been coming here regularly for years. nails last forever. fiza and team are the best. professional and friendly. highly recommend!,5,3d nails @ Le Salon London China town
"fiza and her staff are the best nail artists i have encountered. i am from california, and my first stop whenever in the u.k. is fiza's salon. in addition to their undeniable artistic talent, the staff are so sweet and accommodating. nobody else touches my nails! i envy locals for being so near the best nail salon around. go see fiza!!",5,3d nails @ Le Salon London China town
"amazing place, lovely staff!! called up as they were about to close and she kindly stayed open to sort me and my friend out. will be back!!!",5,3d nails @ Le Salon London China town
wow very nice nails done  amazing don't miss out this place,5,3d nails @ Le Salon London China town
so glad i found this place! a bit tricky to find as it's downstairs from a hair salon - but absolutely worth it. they were able to fit me in as a walk in and did a great job. they seem to know most of their clientele and bring a really personal touch. make sure to bring cash!,5,3d nails @ Le Salon London China town
"lovely, welcoming and talented nail technicians! first place ive found that could do the nail art i wanted~ so happy with my nails, will definitely be back again. thank you! ",5,3d nails @ Le Salon London China town
"i love coming to see fiza and her amazing team every time for excellent professionalism, service and most importantly for a fab job on my nails. the team have always taken great care of me and definitely take the time and precision to ensure my nails are always perfect !",5,3d nails @ Le Salon London China town
"amazing experience - the friendliest salon ive ever been to. wonderfully relaxing, cup of tea thrown in, top job on the nails from an incredible choice of colours - and phone chargers provided too. fiza and alex - thank you x",5,3d nails @ Le Salon London China town
"amazing team, friendly, helpful with my nails looking incredible at the end. highly recommend!",5,3d nails @ Le Salon London China town
the ladies are very professional and friendly . i am a loyal client because the pedicure and manicure are a realcure to my nails ;) thank you,5,3d nails @ Le Salon London China town
love this place! the owner is so lovely and kind. audrey did my nails and you can tell shes very meticulous with her cuticle work and gel skills. she managed to make even my stubby nails look glam. will be coming back next time im in london!,5,3d nails @ Le Salon London China town
"i work locally and i wanted to find good nail place around. after checking local places i think that this one is best. service is always outstanding, crew really great and atmosphere is nice. i totally recommend this place to everybody!",5,3d nails @ Le Salon London China town
"i went yesterday to fix a nail disaster. i got an appointment straight away, all the technicians were funny and lovely. it was a wonderful experience, professional and my nails look absolutely beautiful. finally found a great nail salon that i will be returning too !!!!",5,3d nails @ Le Salon London China town
"i'm very happy with how the nails look, how i was treated and how quickly it went. couldn't be more pleased. -16 years old girl from norway:)",5,3d nails @ Le Salon London China town
hong kong style dessert found in london. quite nice.,4,BIG C 100 Desserts Cafe
"pricey, small  but the desserts were good. ginger milk dessert could really taste the ginger the spheres something was pleasantly not too sweet. if it was not so expensive, i would have given 4.5 stars",3,BIG C 100 Desserts Cafe
great place to get durian deserts,5,BIG C 100 Desserts Cafe
"worse worse worse desserts shop. matcha cake tasteless. barley kumara porridge coconut milk is out of date, so you can taste sour. spheres edge is tasteless as well. and the service is bad as well. never ever visit again even it is free.",1,BIG C 100 Desserts Cafe
"awful food, rude service, overpricednot authentic is one thing, not edible is another.save yourself from ruining a good time - avoid this place",1,BIG C 100 Desserts Cafe
"very very bad. drinks are totally not cold, average food and slpw service.",1,BIG C 100 Desserts Cafe
"should have read the review before we went. highly overpriced for what they are. 9.99 for a desert! had to order at the counter as no one came to our table to take our orders and they had the cheek to charge ~3 of service charge. when queried, they couldn't explain in english. made it hard to challenge. be warned!",1,BIG C 100 Desserts Cafe
rude customer service and awful dessert first time and 'never again'. there are much better places in chinatown then this place.,1,BIG C 100 Desserts Cafe
walked in and we were completely ignored by the waiters for about 5 minutes so we walked out instead.,1,BIG C 100 Desserts Cafe
"not bad desserts, pricey.cash only.comfy seating area.no toilets.",3,BIG C 100 Desserts Cafe
delicious ! super positive! surprise!!,5,BIG C 100 Desserts Cafe
"very small shop. very overpriced for what you get. the ""h8"" sesame dessert is very disappointing, it seems as if it is ready made from powder. there is no toilet either.",1,BIG C 100 Desserts Cafe
"nice food, but the waitress was rude and snappy.",2,BIG C 100 Desserts Cafe
"the service girl treated everyone so bad, absolutely the worst setvice in leicester square area.",1,BIG C 100 Desserts Cafe
i had a bingsoo with my friend on summer and it was good enough. however they served another kind of bingsoo with lack of milk. the visual and size is appealing. the cafe itself was nice and cute.,3,BIG C 100 Desserts Cafe
"bad service and food, no service at all but they charge service charge!? food isn't freshly made and far from the menu, overpriced and tasteless",1,BIG C 100 Desserts Cafe
4 of us went. 3 out of 4 desserts ordered are disappointing and the 4th one is just average. hot desserts are not hot enough; the mango pancake has too much cream and too little mango. they are not very efficient either,2,BIG C 100 Desserts Cafe
"the waitress were very nice and kind, even though one of them was learning english and didn't know much. the strawberry milkshake is the best that i ever tried, good price and feels like you are not in london but in china. the decoration is superb, we need more places like this.",5,BIG C 100 Desserts Cafe
"millecrepe at 7.99 - not great. like all the reviews, over priced and not a patch on kova. when are we going to get a proper chinese dessert restaurant that london deserves?",2,BIG C 100 Desserts Cafe
"8 for a slice of mille crepe cake!!! and cash only?? cake was fine but wow, that's crazy pricing. staff weren't friendly either.",2,BIG C 100 Desserts Cafe
quite a selection of desserts at a reasonable price,4,BIG C 100 Desserts Cafe
the cream covered mango thingi is literally the tastiest beverage ever to flow down my throat,5,BIG C 100 Desserts Cafe
"expensive mille crepe which wasn't as good as kova. additionally, cash only with a service charge for seating me and bringing me a cake. what a joke. avoid at all costs",1,BIG C 100 Desserts Cafe
"very pricey for the size of the portions. they only accept cash without even telling you where the nearest atm is (which is far, btw). and overall they are rude.",2,BIG C 100 Desserts Cafe
new dessert hong kong dessert place in chinatown. wide selection but quite stingy with the mango as quite a big difference with the image. reasonable service but i know a few other places i would choose over this one.,3,BIG C 100 Desserts Cafe
overrated. very small servings. very exorbitantly expensive. not very good. candy cafe is much better for the same desserts.,1,BIG C 100 Desserts Cafe
poor services. we have been waiting for 20 minutes for our desserts. when my friend asked the staff 2 times to check our order and she stared at us without any apologizes (even her manager was sitting next to us and she kept using her computer without saying anything) . never come back again.,1,BIG C 100 Desserts Cafe
"4/6 items we asked for was either unavailable, sold out or missing ingredients...  very disappointing.  service wasn't great, the waitress lacked enthusiasm, gave the vibe that she can't be bothered and only when i pay to tell me cash only...  not sure if i will go back any time soon.",1,BIG C 100 Desserts Cafe
very impressive and delicious fruit dessert   ,5,BIG C 100 Desserts Cafe
love the durian shaved ice here. only few places in london to have durian desserts.,4,BIG C 100 Desserts Cafe
the taro ball is a must to try. this place doesnt accept card so be prepared with your cash.,5,BIG C 100 Desserts Cafe
we were visiting chinatown from canada and this dessert shop .what a great find. the staff are amazing! the dessert are also amazing! staff made us feel so welcome each time we were there. an amazing atmosphere and we would highly recommend this establishment to everyone!,5,BIG C 100 Desserts Cafe
"lovely intimate little venue perfect for a date.we had some excellent fruit dessert,it was a life changing experience.highly recommend this place.",5,BIG C 100 Desserts Cafe
love the dessert! found this shop by accident but it surprised me! definitely will go back again next time. mango ice was great!,5,BIG C 100 Desserts Cafe
very good food and good communication with customers. recommended  10000% love it,5,BIG C 100 Desserts Cafe
"was craving for some chinese dessert and just walk in to this little cafe in chinatown. surprisingly it is so good, matched crepes is awesome not sweet at all. definitely a must try.",5,BIG C 100 Desserts Cafe
"the best dessert  ive tried! great choice,interesting tastes.",5,BIG C 100 Desserts Cafe
very friendly and helpful staff looked after us.his recommendation were perfect and matched exactly what we expected.we had a comfortable and nice experience and would like to go back again.,5,BIG C 100 Desserts Cafe
"overpriced, inattentive service, cash only.there's much better places for shaved ice and tapioca desserts in london.",3,BIG C 100 Desserts Cafe
great food at reasonable prices. amazing atmosphere interior was beautiful.not accept  america express card.,5,BIG C 100 Desserts Cafe
"this is a wonderful place,full of the buzz of being in london .desserts were incredible,waiters were very attentive.",5,BIG C 100 Desserts Cafe
friendly service delicious dessert its okay to open a few more shop!,5,BIG C 100 Desserts Cafe
yummy matcha snowdae (shaved milk ice). server was quite unfriendly but overall a pretty good experience.,4,BIG C 100 Desserts Cafe
they charged service charge ??? without any service ?? ok,1,BIG C 100 Desserts Cafe
service is too bad. we try to enjoy the food but the attitude of the waitor is too annoying!!!,1,BIG C 100 Desserts Cafe
great dessert.seating section was great.amazing atmosphere.everything was well organised.,5,BIG C 100 Desserts Cafe
"no air condistion in hot weathertookaway a mango cake and when i back home, the cake looked like thiswhat a jokethe cake costs 7 pounds!",1,BIG C 100 Desserts Cafe
"very bad service. staff are talking loud when they making the food. and they even charge 12.5% of bill for service charge,where this confidence comes from?",1,BIG C 100 Desserts Cafe
"awful service, disappointing waitress who was not only disrespectful but filled with attitude. slow service. desserts came out completely different to what was advertised and was so bad that we had to walk out.",1,BIG C 100 Desserts Cafe
"not all drinks were cold as we expected. the flavours of the drinks, smoothies and ice cream were okay though.the whole place smelled like durian. eventually the smell become less strong till i don't notice it anymore.",3,BIG C 100 Desserts Cafe
diverse and extensive asian dessert menu - well worth a visit to sample.,4,BIG C 100 Desserts Cafe
great dessert service is very good,5,BIG C 100 Desserts Cafe
"had a horrible time here - do not order ""ginger milk"" as they literally just mix ginger and milk and serve it as a liquid.",1,BIG C 100 Desserts Cafe
"good desserts, drinks are ok but its but a tad pricey",4,BIG C 100 Desserts Cafe
bad quality food and bad service. very disappointed,1,BIG C 100 Desserts Cafe
"super cute caf and delicious desserts! a bit pricey tho, but the location is very cosy",4,BIG C 100 Desserts Cafe
amazing freshly fruit dessert.... the best hong kong style dessert in uk!!!,5,BIG C 100 Desserts Cafe
"the most amazing mango ice cream  in soho, london. share with a loved one!",5,BIG C 100 Desserts Cafe
"i came here for the durian desserts because i love durian!! we had the durian shaved ice one, and it was so good. i will definitely be coming back to try the other desserts!",5,BIG C 100 Desserts Cafe
the food is good but too much oil for me. small space but relatively friendly staff. i would go again to try their dumping. ,3,Baiwei
great spot in china town for spicy sichuan food. waiter was excellent in offering recommendations. cash only.,4,Baiwei
"great authentic dishes, great presentation of food. the chilli beef and bamboo shoots and whole sea bass were great!",5,Baiwei
cool restaurant with excellent food at reasonable prices. not suitable for massive groups as you may find the seats uncomfortable. it's perfect for quick authentic chinese dinner. ,5,Baiwei
communist decor. good food. affordable too. what more could you want?,4,Baiwei
food is too expensive and service too bad. cash only!!!!!!!! no card!!!!!!,2,Baiwei
"this place used to be amazing. the new menu is poor, terrible in fact. seems like an attempt to sell tiny dishes at old prices but they've made them worse too. all the best dishes like fish fragrant aubergine, cumin lamb, green beans with mince pork and garlic and twice cooked szechuan pork are gone. please bring the old menu back!",2,Baiwei
place is very small but the food is good!,4,Baiwei
"small, busy and buzzing. small dishes, fresh flavours and beautiful presentation - wonderful! gets busy and there is a 12 per head minimum charge.",4,Baiwei
"once we he most amazing chinese in soho, now it's very poor. but still expensive.",1,Baiwei
"do not need to talk about food , the service is just horrible!",1,Baiwei
"its small and cozy, with good staff and very tasty food. the twice cooked pork is superb. go here!",4,Baiwei
"this place had a changed menu and possibly change of management, and the quality of the food dropped - but its great again. very affordable, and genuine chinese cuisine. one of the best places in chinatown - highly recommended!",5,Baiwei
very authentic chinese~spicy food guaranteed,5,Baiwei
"very mediocre and overpriced food. rude, grumpy and dismissive service. ",1,Baiwei
the best chinese restaurant ive ever been in london. the waitress was really nice and the food she recommended to me was great. ill definitely return to the restaurant in a week. only thing i have to say that they just accept cash.,5,Baiwei
a cosy and welcome stop during my wander around london.,4,Baiwei
"perfectly decent food, price a bit high for quality",3,Baiwei
best schezwan in town.. a must in london for chinese food lovers..,5,Baiwei
would've been nice if they brought me my meal. would've been ok if they brought it after us telling them.,2,Baiwei
great authentic chinese food,5,Baiwei
authentic and tasty sichuan restaurant with fast and friendly service,5,Baiwei
"great szechuan dishes bursting with amazing tastes of china in a small restaurant that will make you feel as if your were transported to a rural town in china. service was also patient and friendly. prawn, chicken and pork dishes were great. lamb dish was less successful. they have great teas too!",4,Baiwei
"authentic sichuan cooking, fried fish in chilli oil and shredded tofu  was amazing!",5,Baiwei
good food at reasonable prices and large quantities. would come again.,4,Baiwei
authentic sichuan food at a very reasonable price. we were a group of 6 and had to wait 15 minutes to sit down but it was worth it. everything was delicious but the cauliflower stir fry and the fried pork belly were amazing!,5,Baiwei
"i love the traditional spicy dumplings in broth. they are ridiculously spicy and soooo tasty. no alcohol here and simple, no messing vibe.",5,Baiwei
the mao cai is mouth tingling excellent,5,Baiwei
delicious and authentic. the dishes definitely reminded me of home. the dishes were served quickly and the service was top notch. definitely recommend.,5,Baiwei
"lovely selection of szechuan dishes, some of which are quite fiery! quick, friendly service. thank you!",5,Baiwei
ok sichuan food. quick service but without a smile or warmth. and would not accept card payment for an 80 pound bill. had to walk down to the local atm to get cash to pay. my local kebab house and chinese takeaway even take card payments!!,2,Baiwei
"one of my favourite restaurants in london; serves authentic chinese food for a reasonable price. also serve super quickly so its very ideal for the ever hungry person!! every dish ive tried has been really good, highly recommend the .",5,Baiwei
below average. very salty (nearly inedible) food. service was ok. theres plenty more options on your door step,2,Baiwei
my favourite place for chinese food in chinatown. it tastes amazing!,5,Baiwei
portions were way to smallwould not recommend for families,1,Baiwei
i ate  my first time there and i must say the food was  very tasty.  will definitely come back ,5,Baiwei
"always go here when im in london. great place , great food. good spicy food. authentic.",5,Baiwei
"server refused to take an order for another dish saying ""you can only order once"", and that stupid policy is not listed/specified anywhere. average food. don't waste your time or money here, as they don't value your money as paying customers.",1,Baiwei
overpriced!!!!! - tasty enough and quick but 12 quid for what seemed half a dish. get yourself to silk road in camberwell.,2,Baiwei
"worst customer service ever !!!! they don't realise we actually pay for the food and not the other way round. not sure who the hell runs this place ... i will never return nor recommend th place , in fact would talk about this to all my friends who visit china town!!",1,Baiwei
"we went there on wednesday night, it's now sunday morning and i'm only just getting over the worst side effects of the worst food poisoning i've ever had - good meal, but worth 72 hours of spewing, don't think so! the doctor told me it was from eating reheated undercooked/improperly stored rice. might have put me off chinese forever... ",1,Baiwei
really authentic chinese place. we ordered 4 dishes and rice and it was more than plenty for 3 people. juices weer delicious. ,5,Baiwei
"some dishes (vegetables) were really good, most of the meats were just mediocre. come for the spicy food, but only if you're craving something spicy. wouldn't go out of my way to come back here.",3,Baiwei
excellent hotpot.,5,Baiwei
"one of the best gems in chinatown to eat. really daring and inspiring dishes on the menu and off the main, busy strip",5,Baiwei
nice place but they need to improve their service,2,Baiwei
"one of my favourite sichuan restaurant in china town, delicious. most important of all, it is value for money!",4,Baiwei
great little place with tasty dishes at reasonable prices.,4,Baiwei
best dim sum.,5,Baiwei
best restaurant in the world meneu verry good and fast team i like it verry much,5,Baiwei
not recommended. this place is trash. the waitress was rude and the food was dirty and worst taste. ,1,Baiwei
the service and the tastes of the foods became worse compare with last year when i visited. the sauce of the fish smells and tastes good but the fish was tasteless. i agree with the other reviews that the male waiter was rude to customer and he kept talking to another waitress which was quite annoying to us.,2,Baiwei
"really good szechuan food nice staff unusual for china town, good prices",5,Baiwei
taste bud overload. if youve never tried it go for it. but be prepared for an other world experience in dining.,4,Baiwei
highly recommendable place for chinese food. excellent dishes are served with a variety of szechuan flavours and spices. the service is also very good. try the homemade plum juice! it goes perfectly with spicy dishes. ,5,Baiwei
"this was my most frequent choice in china town. very affordable and very busy, so didn't expect too much of service, until today we encountered a very rude waiter, slim and middle aged man, i don't want to go back ever again. ",2,Baiwei
"simply the best authentic chinese food i have ever had. a lot of the dishes were unfamiliar to me but the waitress helped me pick a really tasty selection. i was worried about the chilli content but it was always perfectly balanced in every plate of food. cash only, and not a big enough space for really large groups.",5,Baiwei
"great if you want szechuan style cooking, one of the best for it in london. decently priced and the service is what you expect in chinatown. can get crowded but i like the food a lot",5,Baiwei
"delicious! we ordered a bunch of dishes to share, and it was perfect. it was our first time trying all of the food we had. perfect amount of spice and flavor. ",5,Baiwei
"always been one of the better regional chinese restaurants in london although i note the dish size has shrunk while the prices have creeped up. pretty poor service, as per most chinatown restaurants, and cash only.",4,Baiwei
"i was there last saturday with some friends. we ordered 4 different dishes, and everything was delicious. the place is now starred on my google maps :)",5,Baiwei
 recommend to all if u are looking for traditional spicy food.  i really love this place. used to come for lunch all the time. thought i'd leave a nice msg since the staff were treating me well ,5,Baiwei
"i always love food there but they have change the menu and new business idea, in fact i did not enjoy that much like i used to, i guess is ok.",3,Baiwei
"did not feel very authentic. the waiter we had was fine, but the food wasn't great for the price.",2,Baiwei
"i heard good things about this place but wasn't very impressed. i got the mouthwatering chicken ( very very good!) smacked cucumber, which was bland, don't really have any dressing that you would expect and dan dan noodles which were overcooked and claggy.",3,Baiwei
expensive. cash only. service was not great. didn't get all of the dishes we ordered. food was good.,2,Baiwei
great selection,5,Bake 麵包屋
the buns and pastries are good but bubble  waffle is very average.,4,Bake 麵包屋
lovely bakery place. variety of buns and cakes for good price. recommend a visit ,5,Bake 麵包屋
a good variety of sweet and savoury bread and cakes.,4,Bake 麵包屋
"favourite bakery ever. so much choice. they sell bubble waffles, taiyaki and have a huge selection of buns and pastries. the only reason why it isn't 5*s is because the queueing system is never made clear and you have to figure it out for yourself",4,Bake 麵包屋
"finally found a place that sells red bean taiyaki in london, and they are just as good as japan - highly recommended! also love the ice cream in fish shaped cones.",5,Bake 麵包屋
good bread very soft.. even sometimes long q.. but it worth...,5,Bake 麵包屋
great ice cream. the waffle was not so fluffy though,4,Bake 麵包屋
custard bun!,4,Bake 麵包屋
"one of best chinese bakeries in whole uk imo. always fresh, eye-candy buns and good prices. also always great assortment and availability, which is rare for bakeries. a ""must go"" place",5,Bake 麵包屋
"excellent place. great test of locally made waffle with smooth and testy icecream. also the stuffed waffles we're excellent. highly recommend to visit,  especially with kids.",5,Bake 麵包屋
delicious little fish shaped breads with custard filling. highly recommended! the minis are best.,5,Bake 麵包屋
"the woman there gave me fake change, was very rude and the ice cream wasn't that good",1,Bake 麵包屋
"i got the two types of big taiyaki, red bean and nutella. the dough is different from what im used to (chewy cakey), more glutinous inside and crispy outside. youd have to pay more for nutella, so id say go for the red bean unless you hate it! a nice little treat!ps. bread in shop looks gooood",4,Bake 麵包屋
the ice cream is a must have when visiting china town.,5,Bake 麵包屋
"bad customer service. what they call a ""large"" taiyaki is pretty small for the price. the taiyaki with the red bean paste inside is good.",2,Bake 麵包屋
great location and delicious baked goods. the taiyaki soft serve with matcha vanilla blend ice cream is to die for.,5,Bake 麵包屋
so glad they are now sakurado matcha store,5,Bake 麵包屋
"taiyaki with green tea ice cream is nice, however the staff broke my cookie stick and did not change it...and staff team is not nice at all...they look like zombie, no smile, no emotions~",2,Bake 麵包屋
"as usual the ""custard fish"" went down a treat. they had run out of char siu baos, but it was late so not a surprise. the ice creams in a fish shaped cone were delicious.",4,Bake 麵包屋
unfortunately i did not enjoy the taiyaki... the dough was too stodgy on the inside of the large one and there was not much custard in the small ones. the bakery itself is also so packed and they seem in such a hurry to serve you.,2,Bake 麵包屋
"very disappointed, we found hair in our ice cream , we threw it immediately. the ice cream tastes normal.",1,Bake 麵包屋
"lovely place, they have a great selection of baked goods.taiyaki is the best thing you'll ever try in chinatown and i would recommend getting them here.i would love to give bake five stars but i found the lady on till was quite rude and abrupt.",4,Bake 麵包屋
"i've been there several times, the large variety is always fun to try and the food is really cheap so you end up leaving with a bag full of unique snacks, the one snack friends ask me to get everytime i go are those mini taiyaki so make sure you try them as well.",5,Bake 麵包屋
amazing fresh baked goods. highly recommend!,5,Bake 麵包屋
customer services was terrible.,1,Bake 麵包屋
very cool shop with the fish shaped cone for ice cream. ice cream is soft and nice. can get matcha or vanilla. other buns and food is for sale too,4,Bake 麵包屋
lots of variety of cakes and the teriyaki was very nice as well,5,Bake 麵包屋
i went there and tried the taiyaki ice cream : a wonder. it was delicious and quite cheap. a nice afternoon snack,5,Bake 麵包屋
cool place with speical ice cream cones,4,Bake 麵包屋
"matcha ice cream in fresh fish shaped waffle ""cone"" is delicious",5,Bake 麵包屋
"i love everything they offered. but i hate that one elder lady with the glasses!! i simply wanted a fresh taiyaki but she only said ""it's hot, it's hot"". i don't care if it's hot, it's not fresh!",2,Bake 麵包屋
staff at the till so rude to the customer....make an additional order and she was not happy and told me to go away.  so disgusting!!!,1,Bake 麵包屋
what a massive choice of fresh bread and bakes.,5,Bake 麵包屋
best bakery around. very close to w london hotel. i came here every morning of my trip. come here if looking for amazing baked goods and cheap prices. ,5,Bake 麵包屋
"i would queue here for 3 days to get a bag of their custard fish, surprisingly moreish.",5,Bake 麵包屋
"great variety, lots of flavors. the ice-creams and chocolate fish-shape waffle were enough to make you willing to get in and see the rest.",4,Bake 麵包屋
"really nice ice cream and the taiyaki was the most surprising thing was really crispy and well done. prices are decent for what you get. lots of other cakes and treats in the store as well, the matcha muffin is really soft and fluffy.",4,Bake 麵包屋
"i come here every time im in leicester square, without fail. tuna rolls are amazing. bread is so soft and the taiyaki is extraordinary not to mention how fresh the cakes are ",5,Bake 麵包屋
"the staff are not nice, the lady on the counter she was rood with usin fact they have a nice looking ice cream bubble and fish it does not taste nice! and the raspberry they used was not washed!i",2,Bake 麵包屋
"amazing chinese bakery and ice cream.lots of sweet, savoury options and cute animal cakes.perfect treat after a meal nearby.",5,Bake 麵包屋
"fun waffles with a generous serve of ice-cream, an orio and fresh fruit - every child's dream.",5,Bake 麵包屋
"great buns, reasonably priced.",4,Bake 麵包屋
